name,rating,description,laundry_info,parking_info,square_footage,price,bedroom_num,phone_num,address,ownership_info,submission_date,pic_urls,,,,,,,
The Standard,3,,L,P,1000,1200,3,(434) 270-7787,853 West Main Street Charlottesville VA 22903,A,,https://thestandardcharlottesville.landmark-properties.com/content/uploads/gallery/interior1/gallery-63.jpg,https://thestandardcharlottesville.landmark-properties.com/content/uploads/gallery/interior1/gallery-65.jpg,https://thestandardcharlottesville.landmark-properties.com/content/uploads/gallery/interior1/gallery-66.jpg,https://thestandardcharlottesville.landmark-properties.com/content/uploads/gallery/interior1/gallery-70.jpg,https://thestandardcharlottesville.landmark-properties.com/content/uploads/gallery/interior1/gallery-71.jpg,https://thestandardcharlottesville.landmark-properties.com/content/uploads/gallery/interior1/gallery-72.jpg,,
Lark on Main,2,,L,P,800,9000,2,(434) 270-0888,1000 West Main Street Charlottesville VA 22903,A,,http://larkonmain.com/wp-content/uploads/gallery/uncommon_charlotte_19_people_large.jpg,http://larkonmain.com/wp-content/uploads/gallery/uncommon_charlotte_17_people_large.jpg,http://larkonmain.com/wp-content/uploads/gallery/uncommon_charlotte_18_people_large.jpg,http://larkonmain.com/wp-content/uploads/gallery/uncommon_charlotte_13_people_large.jpg,http://larkonmain.com/wp-content/uploads/gallery/uncommon_charlotte_16_people_large.jpg,http://larkonmain.com/wp-content/uploads/gallery/uncommon_charlotte_07_large.jpg,,
The Flats @ West Village,1,,N,N,450,2030,1,(434) 509 - 4430,852 W Main St Charlottesville VA 22903,A,,www.flatsatwestvillage.com/sites/flatsatwestvillage.com/files/1_1.jpg,www.flatsatwestvillage.com/sites/flatsatwestvillage.com/files/2_1.jpg,www.flatsatwestvillage.com/sites/flatsatwestvillage.com/files/3_1.jpg,www.flatsatwestvillage.com/sites/flatsatwestvillage.com/files/4_1.jpg,www.flatsatwestvillage.com/sites/flatsatwestvillage.com/files/5_1.jpg,www.flatsatwestvillage.com/sites/flatsatwestvillage.com/files/6_1.jpg,www.flatsatwestvillage.com/sites/flatsatwestvillage.com/files/7_1.jpg,
The Pavilion at North Grounds,,,,,800,882,2,(434) 295-0070,2101 Arlington Blvd. Charlottesville VA 22903,A,,https://img.offcampusimages.com/S9WhsSdDdALblkgpByBm_jUmcuE=/660x440/left/top/smart/images/lirl1vytxnclai2y5ampwyp9cxsw7yly3ylccljvauq.jpeg,https://img.offcampusimages.com/vXZhEPyXfBSv4R-WdHyweXE-7l4=/660x440/left/top/smart/images/9i6hiijn_ghg6z3yxco0ghe7lagaudmvgg2f6y_q4_8.jpeg,https://img.offcampusimages.com/dRSaoa2tuRNLO2nkyUsD0W3oYwc=/660x440/left/top/smart/images/0g5xd7szydtdfz4hbj467riwi78ozqpge8nuxsssljw.jpeg,https://img.offcampusimages.com/DWH5_ZsPPhFUOWuozo7ZDNjyWqE=/660x440/left/top/smart/images/aex4irfdwninewlcovf3l5loffjbcu3i7fma3trq4sa.jpeg,https://img.offcampusimages.com/OqH_yuJiwbnJ0nmSHBfAiKeptPw=/660x440/left/top/smart/images/ckxlkhpkyvwr0gwmc5q1outf57_jv3fkqef8burfgzi.jpeg,https://img.offcampusimages.com/MAf9KbJpy-dlFxo8UiEyOB8Hkt8=/660x440/left/top/smart/images/k_viaugwyiv0caxgbaob7wgblv1uyvl8y2gtnhzjel4.jpeg,https://img.offcampusimages.com/FwCphSTRlMHwb2EcBBT0O_umyb4=/660x440/left/top/smart/images/hphnbbbcw_uj5vfnnu0z0y7na4uxy_glioucewl_mfy.jpeg,https://img.offcampusimages.com/2sUoxeM3FHfeT_C9YxyprOx57zg=/660x440/left/top/smart/images/8fy49oq0sie16irqmui2n0zyyjrdczurvaain_rz6kq.jpeg
Cherry Suites,,,,,,,,(434) 971-8860,1001 Cherry Avenue Charlottesville VA 22939,O,,https://img.offcampusimages.com/6My7bGBla28Wd5QayI_IpBqs1uw=/660x440/left/top/smart/images/nk9piafaeejkglavubgsi4bh1zre2dap8itn_sxixjk.jpeg,https://img.offcampusimages.com/92X65hi1QCUDeosxrykKwErM7Fg=/660x440/left/top/smart/images/kbrmfizr66q37qu31y_imnayzzfhcv8kjj_efar0swm.jpeg,https://img.offcampusimages.com/_9Ryt0oYVmFftkEei9fg1-4iLOI=/660x440/left/top/smart/images/ieg8jx42p8beavn_3q1qzbuobr9j59uluvoufdghdqq.jpeg,https://img.offcampusimages.com/S4lH2xC0Uxnbt4qrg2rMrCtPHSM=/660x440/left/top/smart/images/kcbv4pwgamoamq2hb6nivgjodrrd9vvma4p2qvhsybw.jpeg,https://img.offcampusimages.com/y91WaWtf3undPdcGihS40ZTCJBI=/330x440/left/top/smart/images/m1glnayzjpxyujvweah1jeiecupgnqqvtpfxsqajsoe.jpeg,,,
GrandMarc at the Corner,,,,,,,,(434) 293-5787,301 15th St. NW Charlottesville VA 22903,,,https://img.offcampusimages.com/gFIhfde4s7vSPZ40Z4qRVB70KPk=/660x440/left/top/smart/images/loycivccswk4vzzlgqkai_k3qrqdgo5t9atpzzfazxg.jpeg,https://img.offcampusimages.com/-oCIQnDu5oNZoSleDk3RGDu0xaQ=/660x440/left/top/smart/images/pqsfsh2o2ry3rkwxlj_i0oc7h3g8jevdf8jhvztlp7e.jpeg,https://img.offcampusimages.com/NTQXfTyXG0LPgbzGwoVBphqolFE=/660x440/left/top/smart/images/omqqcx2obpyqzrzddgzzh4zwm8anmvfqegcj_cisr6w.jpeg,https://img.offcampusimages.com/_Cr8ECUGv7bWydzp806Udp10okI=/660x440/left/top/smart/images/qjbd2dqx6bk_jsq3hqgs64gpimeqbposasbanfadcza.jpeg,https://img.offcampusimages.com/_Z5QzV3CWlszHWTzqYRGLCXprlY=/660x440/left/top/smart/images/5fsuzpnutro38wrgk9xag1zbcatkf_rce7jygvozaok.jpeg,https://img.offcampusimages.com/tAZLdayHJ_wn5U5SUmcwdJiNb3k=/660x440/left/top/smart/images/mys_1lcchwczbysq8ekchrj99ssdzjvq5zr7hc4tbgc.jpeg,,
Cavalier Crossing,,,,,,,,,100 Wahoo Way Charlottesville VA 22903,,,https://img.offcampusimages.com/-chL8CNiJAdvJno9sIZWdBWdAIY=/600x400/left/top/smart/images/vfqddqbczjvaui_jdi8wxfry2nywttl_qdpaxqpbdou.jpeg,https://img.offcampusimages.com/v6Em4Kq-rx-hU15mKeT7N2snXsY=/600x400/left/top/smart/images/9fuo4ood_nca6vikfwa50uptkwat5hj8sf_wfatbl0e.jpeg,https://img.offcampusimages.com/MK0UCQxtKpHaz0QFnPItJ45y4xI=/600x400/left/top/smart/images/ryig08uqorvxkh64hwfb8axxqli_uphtxhejt3__enc.jpeg,https://img.offcampusimages.com/E8mBH1bOTDLn4zRMOaQonn0qgSw=/600x400/left/top/smart/images/1r1jajt6ojv1j9xrbx339d0cjze_hztw14f7wlyk5yi.jpeg,https://img.offcampusimages.com/pg7rhuBowuRHRxol9akCZJRSTPY=/600x400/left/top/smart/images/buoy17hivo0uhw_2dknhxixphy0ow859z0tt9fhsaxm.jpeg,https://img.offcampusimages.com/lphTFO6n2LU7FySTc1hjcaZFUTM=/600x400/left/top/smart/images/y3gsz_kwcvsynrizopdzzdweycnjmosxz4yuokdctzq.jpeg,,
Eagles Landing Apartments,,,,,,,,,100 Yellowstone Drive Charlottesville VA 22903,,,https://img.offcampusimages.com/SbtBmBEV_X834mlXg-VLiGPU4uA=/600x400/left/top/smart/images/7dvklidnbeamrmfkwhp9_puhwtssmwtogfbhi2ux0kq.png,https://img.offcampusimages.com/oHfg2ZsW6AMv4ubg-jtsDf_Fc-Y=/600x400/left/top/smart/images/uzpzpa1txshzjamemyspmdosvunvnvteszsnjiqoozs.png,https://img.offcampusimages.com/Iac8928JWSN_AQ-ekU6t_j9RanQ=/600x400/left/top/smart/images/8quskenpvdgnx2j26g7lslilzps4iflbaac5aqdidy4.png,https://img.offcampusimages.com/0zJxCkhdK3Li4d-7h6WbMrR-1oo=/600x400/left/top/smart/images/aifcy4psxiemwjsbf7ab_mzwtunq5iiivnraztft_6i.png,https://img.offcampusimages.com/g12yPJe8DJVCSYBJecJoDtIgR6g=/600x400/left/top/smart/images/x_y3dzkundwptg6mipodtlh3k__ron6o_alt8jb_o6k.jpeg,https://img.offcampusimages.com/bPd_-QWXVxnDh1UaHBaE8WeIxiA=/600x400/left/top/smart/images/6iqc_yhdcsw6dwaekzxupwqju6ydqtncul_pgfcsr3u.jpeg,,
Granite Park Apartments,,,,,,,,,2407 Peyton Drive Charlottesville VA 22901,,,https://img.offcampusimages.com/6MvcQLEFRrqAokwdHoo58Im-LBk=/600x400/left/top/smart/images/_oikgrqdw76fvvtrx_mdpqhg93a2bzwdqotrdkacs0e.jpeg,https://img.offcampusimages.com/KCMkxyajrXaTTEkb94Pp8Zh2Yd4=/600x400/left/top/smart/images/d8ddggkvbdygfwctcpaqzsm5dihf748zaw99rurbqey.jpeg,https://img.offcampusimages.com/N8p8QcpfxpRjgfYwYU77TppLn4s=/600x400/left/top/smart/images/zmfevc_u6zmvrykobxtocs2p6zncw6oiomxmlynqek0.jpeg,https://img.offcampusimages.com/uNyIikThuQ5qe7z2A70mXyUv8_I=/600x400/left/top/smart/images/n9xe785jmtjqdiw_9zco8o3tj0i0r_xvjor4nq9pfp8.jpeg,https://img.offcampusimages.com/-WGn13M5OahMpbm78vDS1D47VOc=/600x400/left/top/smart/images/owa7yyepqn_fb97uygxk4scntvdtgqiot2lwhufanac.jpeg,https://img.offcampusimages.com/sm1POn0JLjC1pG5cUS3mBtcoKBg=/600x400/left/top/smart/images/npid0zll_g4zs8eicmnrxvbfsamoowx_mkly90mdaxu.jpeg,https://img.offcampusimages.com/AWqNQAjwHqYl7mGypHz2K6lVTbc=/600x400/left/top/smart/images/9u5b97krsaeyxswxdzbalg63mqwjs_sugr8srwasalw.jpeg,
The Flats at West Village,,,,,,,,(434)-509-4430,852 West Main Street Charlottesville VA 22903Ê,,,https://img.offcampusimages.com/i8svi71fOCy97nEIjUtC-Qc8A5w=/660x440/left/top/smart/images/t8ocj_twzzae1hclkeghmf3vx6mtzq6okynst5tyzwy.jpeg,https://img.offcampusimages.com/4F2X5BlMnW3ATSIzbFYf2dnsJPE=/660x440/left/top/smart/images/slp5s0_tmirmabmvo_w6wwusvyjvqckt1u7jew6ha1e.jpeg,https://img.offcampusimages.com/hTp2_Gwiy5qcaTxZfo_i5KX_kkc=/660x440/left/top/smart/images/hwkct4qlsuh2ucofxfmshcsbmvxlxcg0hxnoqqnm4ww.jpeg,https://img.offcampusimages.com/zMKtAZRx4xjw9aNgUG8-8U_Txls=/660x440/left/top/smart/images/bcjf3tiry5dopvrb1lp1pxik5e39pzentjiap7ff6i0.jpeg,https://img.offcampusimages.com/3zT835Bw-P5T6DdC9VX2ES0aFvQ=/660x440/left/top/smart/images/9ktcwnz8aptfhowfw3uvufq5myh_hjymibl1wdq38_s.jpeg,,,
